Subfolder,Folio,Graphic Profile,Average Length (mm),Average Characters per Line,Average Millimeters per Line,Standard Deviation (mm)
btv1b84472995_f57,25r,GP1,63.218059999999994,43.02,63.218059999999994,2.1008154408623465
btv1b84472995_f141,64r,GP1,63.67017999999999,41.35,63.67017999999999,2.052737734014374
btv1b84472995_f173,83r,GP1,63.752730000000014,42.34,63.752730000000014,1.5472339761227742
btv1b84472995_f176,84v,GP1,64.97447000000001,41.91,64.97447000000001,0.9863253730464155
btv1b84472995_f212,102r,GP1,64.89382499999999,42.28,64.89382499999999,0.8868612892320795
btv1b84472995_f251,122r,GP1,63.07200999999999,43.13,63.07200999999999,2.6630205689036717
btv1b84472995_f290,141v,GP1,64.72110500000002,41.82,64.72110500000002,1.2332229502098326
btv1b84472995_f328,160v,GP1,64.41821000000003,42.43,64.41821000000003,0.7604172704190222
btv1b84472995_f347,170r,GP1,62.64592499999999,42.72,62.64592499999999,2.606968756593284
btv1b84472995_f365,179r,GP1,62.221110000000024,43.32,62.221110000000024,0.88150139821245
btv1b84472995_f380,186v,GP1,63.90513000000003,42.39,63.90513000000003,3.199889118675549
btv1b84472995_f405,199r,GP1,63.582549999999976,42.63,63.582549999999976,0.8397835745120295
btv1b84472995_f457,225r,GP1,63.751460000000016,41.31,63.751460000000016,0.8529414603285939
btv1b84472995_f483,238r,GP1,63.02184499999999,41.11,63.02184499999999,0.9388449778312659
btv1b84472995_f531,262r,GP1,64.78015999999998,42.45,64.78015999999998,0.8186240207034782
btv1b84472995_f538,265v,GP2,50.259102409638565,30.06024096385542,50.259102409638565,11.807803590019692
btv1b84472995_f552,272v,GP1,62.41796000000002,41.53,62.41796000000002,4.102581528794283
btv1b84472995_f557,275r,GP1,64.432815,42.65,64.432815,0.9201003943218987
btv1b84472995_f589,291r,GP2,66.05523999999998,38.95,66.05523999999998,1.1447845888853914
btv1b84472995_f601,297r,GP1,63.59143999999998,42.25,63.59143999999998,0.9295525813068032
btv1b84472995_f641,317r,GP1,63.851789999999966,42.61,63.851789999999966,1.0730256950899322
btv1b84472995_f660,326v,GP1,62.16459500000003,42.3,62.16459500000003,3.845544449700356
btv1b84472995_f678,335r,GP1,62.50114500000002,43.12,62.50114500000002,2.5153115288863295
btv1b84472995_f715,353r,GP2,58.69876499999999,32.97,58.69876499999999,12.250475318021318
btv1b84472995_f716a,353va,GP2,60.39390425531917,34.04255319148936,60.39390425531917,11.022635798781986
btv1b84472995_f716b,353vb,GP3,57.83542647058824,39.11764705882353,57.83542647058824,6.0152438174876615
btv1b84472995_f722,356v,GP1,62.35699999999998,41.6,62.35699999999998,3.2927605777253564
btv1b84472995_f723,357r,GP2,64.1372951807229,36.69879518072289,64.1372951807229,5.21331826766566
btv1b84472995_f725,358r,GP2,64.7971197916667,37.645833333333336,64.7971197916667,3.2793728361771852
btv1b84472995_f761,376r,GP1,63.96545499999999,42.53,63.96545499999999,0.7549144412521943
btv1b84472995_f781,386r,GP2,65.85394499999998,39.02,65.85394499999998,1.2427770160374338
btv1b84472995_f786,388v,GP2,62.83579,37.35,62.83579,3.7594463729666527
btv1b84472995_f804,397v,GP2,62.615445000000015,39.85,62.615445000000015,4.210094502103416
btv1b84472995_f808,399v,GP2,62.98628500000002,38.97,62.98628500000002,4.147430402150448
btv1b84472995_f811,400r,GP2,66.47053,39.39,66.47053,1.2965207322645944
btv1b84472995_f836,412v,GP2,62.96342499999999,38.78,62.96342499999999,4.695491498340173
btv1b84472995_f846,417v,GP2,62.50749500000003,37.59,62.50749500000003,4.485514510253191
btv1b84472995_f876,432v,GP2,62.87134999999996,38.22,62.87134999999996,5.997030172207213
btv1b84472995_f879,434r,GP2,67.64210500000002,37.72,67.64210500000002,1.9173574924919852
btv1b84472995_f888,438v,GP2,61.08700000000001,36.56,61.08700000000001,7.737772862309081
btv1b84472995_f889,439r,GP3,64.02339393939396,38.121212121212125,64.02339393939396,8.780659279836458
btv1b84472995_f890,439v,GP3,63.03943373493977,39.65060240963855,63.03943373493977,7.63042031966141
btv1b84472995_f893,441r,GP2,67.44208000000002,36.79,67.44208000000002,2.949400401074527
btv1b84472995_f899,444r,GP2,67.849115,37.38,67.849115,2.37005658613669
btv1b84472995_f910,449v,GP2,65.69964000000002,38.71,65.69964000000002,4.895935063587822
btv1b84472995_f924,456v,GP2,64.87731499999997,38.45,64.87731499999997,5.286011721752044
btv1b84472995_f926,457v,GP2,65.53136500000001,37.91,65.53136500000001,4.756466842894052
btv1b84472995_f940,464v,GP3,65.59677000000002,41.18,65.59677000000002,6.859371657628325
btv1b84472995_f943,466r,GP3,65.83278947368424,41.776315789473685,65.83278947368424,5.338315935613127
btv1b84472995_f945,467r,GP3,66.89570121951219,42.71951219512195,66.89570121951219,5.351556106254849
btv1b84472995_f950,469v,GP3,63.44983499999999,40.92,63.44983499999999,5.924008519973805
btv1b84472995_f955,472r,GP3,66.19071686746986,40.08433734939759,66.19071686746986,6.680818827239289
btv1b84472995_f959,474r,GP3,67.7164,43.02,67.7164,1.968344813042242
btv1b84472995_f960,44v,GP1,63.88290500000003,40.68,63.88290500000003,0.9527973559419127
btv1b84472995_f963,476r,GP3,67.92975999999997,40.52,67.92975999999997,1.7945112210923246
btv1b84472995_f966,477v,GP3,63.962915000000024,39.92,63.962915000000024,6.642418093325683
btv1b84472995_f969,479r,GP3,64.97580120481929,37.63855421686747,64.97580120481929,5.675694372980837
btv1b84472995_f971,480r,GP3,64.93754819277109,38.91566265060241,64.93754819277109,7.127882007888517
btv1b84472995_f972,480v,GP3,61.41839062500001,41.640625,61.41839062500001,9.811856343652925
btv1b84472995_f973,481r,GP3,64.40233500000001,41.42,64.40233500000001,5.5768829650924525
btv1b84472995_f975,482r,GP3,66.88073999999997,42.68,66.88073999999997,1.7957591153615338
btv1b84472995_f977,483r,GP3,67.00265999999998,43.81,67.00265999999998,1.3541470215451483
btv1b84472995_f978,483v,GP3,63.460629999999995,44.83,63.460629999999995,5.658704326490868
btv1b84472995_f979a,484ra,GP3,66.50919444444442,43.69444444444444,66.50919444444442,1.3101221386779043
btv1b84472995_f979b,484rb,GP4,64.81266406250002,40.96875,64.81266406250002,6.463804871214202
btv1b84472995_f981,485r,GP4,66.15303,41.6,66.15303,1.2860170930968895
btv1b84472995_f984,486v,GP4,62.32397999999999,40.35,62.32397999999999,6.769131649441803
btv1b84472995_f987,488r,GP4,67.00901,40.17,67.00901,1.3666587434729696
btv1b84472995_f991,490r,GP4,64.355345,41.01,64.355345,3.5523495679627377
btv1b84472995_f994,491v,GP4,62.10173,42.11,62.10173,6.4467766060397835
