Abbreviated Sequence,Unabbreviated Sequences,GP1 Occurrences,GP1 %,GP2 Occurrences,GP2 %,GP3 Occurrences,GP3 %,GP4 Occurrences,GP4 %,Average %
ẜ,ser,58 / 47,55.23809523809524,87 / 57,60.416666666666664,50 / 25,66.66666666666666,18 / 10,64.28571428571429,61.65178571428571
õ,"om, on",434 / 790,35.45751633986928,192 / 804,19.27710843373494,110 / 580,15.942028985507244,55 / 204,21.235521235521233,22.978043748658177
m̃t,ment,167 / 50,76.95852534562212,3 / 124,2.3622047244094486,7 / 102,6.422018348623854,1 / 42,2.3255813953488373,22.017082453501065
ꝑ,"par, per",288 / 207,58.18181818181818,12 / 335,3.45821325648415,24 / 323,6.9164265129683,10 / 78,11.363636363636363,19.980023578726748
⁊,et,562 / 771,42.160540135033756,181 / 889,16.91588785046729,65 / 892,6.792058516196447,2 / 266,0.7462686567164178,16.65368878960348
q̃,que,242 / 287,45.746691871455575,20 / 373,5.089058524173027,27 / 363,6.923076923076923,11 / 117,8.59375,16.588144329676382
ꝯ,"com, con",176 / 203,46.437994722955146,4 / 232,1.694915254237288,9 / 177,4.838709677419355,2 / 63,3.076923076923077,14.012135682883716
p̾,pre,62 / 87,41.61073825503356,2 / 103,1.9047619047619049,0 / 119,0.0,3 / 32,8.571428571428571,13.021732182806009
u̾,uer,55 / 80,40.74074074074074,1 / 71,1.3888888888888888,2 / 87,2.247191011235955,1 / 29,3.3333333333333335,11.92753849354973
ꝰ,us ,26 / 137,15.950920245398773,14 / 214,6.140350877192982,3 / 98,2.9702970297029703,6 / 23,20.689655172413794,11.43780583117713
b̾,"ber, bier, bre",20 / 55,26.666666666666668,1 / 49,2.0,0 / 69,0.0,0 / 31,0.0,7.166666666666667
ã,"am, an",127 / 802,13.670613562970937,23 / 726,3.0707610146862483,17 / 570,2.8960817717206133,6 / 146,3.9473684210526314,5.8962061926076075
ĩ,"in, im",76 / 473,13.843351548269581,12 / 272,4.225352112676056,8 / 330,2.366863905325444,3 / 107,2.727272727272727,5.790710073385952
ẽ,"en, em",381 / 2332,14.043494286767416,63 / 1621,3.7410926365795723,42 / 1420,2.8727770177838576,9 / 440,2.0044543429844097,5.665454571028814
o᷑,our,35 / 389,8.254716981132075,8 / 280,2.7777777777777777,5 / 221,2.2123893805309733,4 / 75,5.063291139240507,4.577043819670333
t̾,"tre, ter",60 / 439,12.024048096192384,9 / 483,1.8292682926829267,4 / 350,1.1299435028248588,3 / 101,2.8846153846153846,4.466968819078888
qͥ,qui,49 / 396,11.01123595505618,4 / 192,2.0408163265306123,1 / 157,0.6329113924050633,1 / 62,1.5873015873015872,3.8180663153233603
e᷑,eur,13 / 218,5.627705627705628,1 / 208,0.4784688995215311,2 / 195,1.015228426395939,4 / 51,7.2727272727272725,3.5985325565875925
